Country Name,Year,Indicator Name,Value
Malaysia,2010,Agriculture GDP%,10.08991593
Malaysia,2011,Agriculture GDP%,11.45335312
Malaysia,2012,Agriculture GDP%,9.793750746
Malaysia,2013,Agriculture GDP%,9.113363845
Malaysia,2014,Agriculture GDP%,8.873209013
Malaysia,2015,Agriculture GDP%,8.287499926
Malaysia,2016,Agriculture GDP%,8.462526618
Malaysia,2017,Agriculture GDP%,8.598276952
Malaysia,2018,Agriculture GDP%,7.512089533
Malaysia,2019,Agriculture GDP%,7.241308
Malaysia,2020,Agriculture GDP%,8.166002271
Malaysia,2021,Agriculture GDP%,9.566214588
Malaysia,2022,Agriculture GDP%,8.950720823
Malaysia,2010,Crop production index,90.97
Malaysia,2011,Crop production index,99.75
Malaysia,2012,Crop production index,101.2
Malaysia,2013,Crop production index,100.55
Malaysia,2014,Crop production index,101.21
Malaysia,2015,Crop production index,104.44
Malaysia,2016,Crop production index,94.36
Malaysia,2017,Crop production index,106.57
Malaysia,2018,Crop production index,102.78
Malaysia,2019,Crop production index,103.03
Malaysia,2020,Crop production index,101.74
Malaysia,2021,Crop production index,97.74
Malaysia,2022,Crop production index,97.93
Malaysia,2010,Food production index,80.47
Malaysia,2011,Food production index,82.85
Malaysia,2012,Food production index,86.23
Malaysia,2013,Food production index,90.08
Malaysia,2014,Food production index,96.27
Malaysia,2015,Food production index,100.75
Malaysia,2016,Food production index,102.98
Malaysia,2017,Food production index,101.08
Malaysia,2018,Food production index,99.81
Malaysia,2019,Food production index,96.88
Malaysia,2020,Food production index,102.84
Malaysia,2021,Food production index,102.8
Malaysia,2022,Food production index,102.8
