Area,Item,Months,Year,Value
Malaysia,Food price inflation,January,2010,1.240695
Malaysia,Food price inflation,February,2010,1.240695
Malaysia,Food price inflation,March,2010,1.745636
Malaysia,Food price inflation,April,2010,2.273486
Malaysia,Food price inflation,May,2010,2.600652
Malaysia,Food price inflation,June,2010,2.858872
Malaysia,Food price inflation,July,2010,2.893386
Malaysia,Food price inflation,August,2010,3.030303
Malaysia,Food price inflation,September,2010,2.689707
Malaysia,Food price inflation,October,2010,2.791886
Malaysia,Food price inflation,November,2010,2.877666
Malaysia,Food price inflation,December,2010,2.675899
Malaysia,Food price inflation,January,2011,3.636364
Malaysia,Food price inflation,February,2011,4.747475
Malaysia,Food price inflation,March,2011,4.747475
Malaysia,Food price inflation,April,2011,4.944501
Malaysia,Food price inflation,May,2011,4.522613
Malaysia,Food price inflation,June,2011,4.7
Malaysia,Food price inflation,July,2011,4.89022
Malaysia,Food price inflation,August,2011,4.577114
Malaysia,Food price inflation,September,2011,4.975124
Malaysia,Food price inflation,October,2011,5.666004
Malaysia,Food price inflation,November,2011,5.143422
Malaysia,Food price inflation,December,2011,5.128205
Malaysia,Food price inflation,January,2012,4.775828
Malaysia,Food price inflation,February,2012,2.89296
Malaysia,Food price inflation,March,2012,2.89296
Malaysia,Food price inflation,April,2012,2.307692
Malaysia,Food price inflation,May,2012,2.980769
Malaysia,Food price inflation,June,2012,2.86533
Malaysia,Food price inflation,July,2012,2.568982
Malaysia,Food price inflation,August,2012,2.759277
Malaysia,Food price inflation,September,2012,2.369668
Malaysia,Food price inflation,October,2012,1.975541
Malaysia,Food price inflation,November,2012,1.975541
Malaysia,Food price inflation,December,2012,1.969981
Malaysia,Food price inflation,January,2013,2.232558
Malaysia,Food price inflation,February,2013,3.280225
Malaysia,Food price inflation,March,2013,3.280225
Malaysia,Food price inflation,April,2013,3.759398
Malaysia,Food price inflation,May,2013,3.454715
Malaysia,Food price inflation,June,2013,3.249768
Malaysia,Food price inflation,July,2013,3.896104
Malaysia,Food price inflation,August,2013,3.611111
Malaysia,Food price inflation,September,2013,3.888889
Malaysia,Food price inflation,October,2013,3.690037
Malaysia,Food price inflation,November,2013,3.874539
Malaysia,Food price inflation,December,2013,4.50782
Malaysia,Food price inflation,January,2014,4.185623
Malaysia,Food price inflation,February,2014,3.81125
Malaysia,Food price inflation,March,2014,3.901996
Malaysia,Food price inflation,April,2014,3.623188
Malaysia,Food price inflation,May,2014,3.33935
Malaysia,Food price inflation,June,2014,3.507194
Malaysia,Food price inflation,July,2014,3.125
Malaysia,Food price inflation,August,2014,3.306524
Malaysia,Food price inflation,September,2014,3.208556
Malaysia,Food price inflation,October,2014,2.846975
Malaysia,Food price inflation,November,2014,2.930728
Malaysia,Food price inflation,December,2014,2.376761
Malaysia,Food price inflation,January,2015,2.79476
Malaysia,Food price inflation,February,2015,2.70979
Malaysia,Food price inflation,March,2015,2.270742
Malaysia,Food price inflation,April,2015,3.146853
Malaysia,Food price inflation,May,2015,3.49345
Malaysia,Food price inflation,June,2015,3.388358
Malaysia,Food price inflation,July,2015,3.809524
Malaysia,Food price inflation,August,2015,4.238754
Malaysia,Food price inflation,September,2015,4.317789
Malaysia,Food price inflation,October,2015,4.67128
Malaysia,Food price inflation,November,2015,4.141501
Malaysia,Food price inflation,December,2015,4.55718
Malaysia,Food price inflation,January,2016,3.908241
Malaysia,Food price inflation,February,2016,4.765957
Malaysia,Food price inflation,March,2016,5.038429
Malaysia,Food price inflation,April,2016,4.237288
Malaysia,Food price inflation,May,2016,4.135021
Malaysia,Food price inflation,June,2016,4.201681
Malaysia,Food price inflation,July,2016,3.75312
Malaysia,Food price inflation,August,2016,3.485477
Malaysia,Food price inflation,September,2016,2.980132
Malaysia,Food price inflation,October,2016,2.479339
Malaysia,Food price inflation,November,2016,3.811102
Malaysia,Food price inflation,December,2016,3.700658
Malaysia,Food price inflation,January,2017,4.006541
Malaysia,Food price inflation,February,2017,4.305443
Malaysia,Food price inflation,March,2017,4.065041
Malaysia,Food price inflation,April,2017,4.146341
Malaysia,Food price inflation,May,2017,4.376013
Malaysia,Food price inflation,June,2017,4.274194
Malaysia,Food price inflation,July,2017,4.180064
Malaysia,Food price inflation,August,2017,4.330393
Malaysia,Food price inflation,September,2017,4.581994
Malaysia,Food price inflation,October,2017,4.354839
Malaysia,Food price inflation,November,2017,3.671189
Malaysia,Food price inflation,December,2017,3.806503
Malaysia,Food price inflation,January,2018,3.459119
Malaysia,Food price inflation,February,2018,2.647975
Malaysia,Food price inflation,March,2018,2.421875
Malaysia,Food price inflation,April,2018,2.185792
Malaysia,Food price inflation,May,2018,1.785714
Malaysia,Food price inflation,June,2018,0.386698
Malaysia,Food price inflation,July,2018,0.385802
Malaysia,Food price inflation,August,2018,0
Malaysia,Food price inflation,September,2018,0.153728
Malaysia,Food price inflation,October,2018,1.236476
Malaysia,Food price inflation,November,2018,1.077752
Malaysia,Food price inflation,December,2018,0.611154
Malaysia,Food price inflation,January,2019,0.987842
