Iso3,Area,Item,Months,Year,Value
MYS,Malaysia,"Consumer Prices, Food Indices",January,2017,106.58
MYS,Malaysia,"Consumer Prices, Food Indices",January,2018,110.27
MYS,Malaysia,"Consumer Prices, Food Indices",January,2019,111.35
MYS,Malaysia,"Consumer Prices, Food Indices",January,2020,112.36
MYS,Malaysia,"Consumer Prices, Food Indices",January,2021,114.04
MYS,Malaysia,"Consumer Prices, Food Indices",January,2022,118.14
MYS,Malaysia,"Consumer Prices, Food Indices",January,2023,126.1
MYS,Malaysia,"Consumer Prices, Food Indices",January,2024,128.11
MYS,Malaysia,"Consumer Prices, Food Indices",January,2025,131.88
MYS,Malaysia,"Consumer Prices, Food Indices",February,2017,107.58
MYS,Malaysia,"Consumer Prices, Food Indices",February,2018,110.43
MYS,Malaysia,"Consumer Prices, Food Indices",February,2019,111.52
MYS,Malaysia,"Consumer Prices, Food Indices",February,2020,112.44
MYS,Malaysia,"Consumer Prices, Food Indices",February,2021,114.04
MYS,Malaysia,"Consumer Prices, Food Indices",February,2022,118.31
MYS,Malaysia,"Consumer Prices, Food Indices",March,2017,107.25
MYS,Malaysia,"Consumer Prices, Food Indices",March,2018,109.85
MYS,Malaysia,"Consumer Prices, Food Indices",March,2019,111.02
MYS,Malaysia,"Consumer Prices, Food Indices",March,2020,112.36
MYS,Malaysia,"Consumer Prices, Food Indices",March,2021,114.04
MYS,Malaysia,"Consumer Prices, Food Indices",March,2022,118.64
MYS,Malaysia,"Consumer Prices, Food Indices",April,2017,107.33
MYS,Malaysia,"Consumer Prices, Food Indices",April,2018,109.68
MYS,Malaysia,"Consumer Prices, Food Indices",April,2019,110.85
MYS,Malaysia,"Consumer Prices, Food Indices",April,2020,112.19
MYS,Malaysia,"Consumer Prices, Food Indices",April,2021,114.37
MYS,Malaysia,"Consumer Prices, Food Indices",April,2022,119.06
MYS,Malaysia,"Consumer Prices, Food Indices",May,2017,107.92
MYS,Malaysia,"Consumer Prices, Food Indices",May,2018,109.85
MYS,Malaysia,"Consumer Prices, Food Indices",May,2019,111.19
MYS,Malaysia,"Consumer Prices, Food Indices",May,2020,112.53
MYS,Malaysia,"Consumer Prices, Food Indices",May,2021,114.2
MYS,Malaysia,"Consumer Prices, Food Indices",May,2022,120.15
MYS,Malaysia,"Consumer Prices, Food Indices",June,2017,108.34
MYS,Malaysia,"Consumer Prices, Food Indices",June,2018,108.76
MYS,Malaysia,"Consumer Prices, Food Indices",June,2019,111.27
