state,Year,crop_type,planted_area,production,yield
Johor,2017,cash_crops,3780.3,42424.1,11.222
Johor,2018,cash_crops,3483.7,43420.4,12.464
Johor,2019,cash_crops,3007.5,38566.7,12.824
Johor,2020,cash_crops,3056.2,42963,14.058
Johor,2021,cash_crops,3522.4,47538.7,13.496
Johor,2022,cash_crops,3397.3,46960,13.823
Johor,2017,coconut,14931.6,107731,7.215
Johor,2018,coconut,12949.7,95495.7,7.374
Johor,2019,coconut,10762.9,99375.1,9.233
Johor,2020,coconut,11887,106723.2,8.978
Johor,2021,coconut,12380.5,118278.2,9.554
Johor,2022,coconut,13269.8,124062.2,9.349
Johor,2017,flower,1455.2,245074825,168413.156
Johor,2018,flower,1481.4,249486172,168412.429
Johor,2019,flower,1509.6,254226409,168406.471
Johor,2020,flower,1467.3,193720524,132025.165
Johor,2021,flower,1442.4,164836794,114279.53
Johor,2022,flower,1461.1,168133530,115073.253
Johor,2017,fruits,59264.8,603693,10.186
Johor,2018,fruits,46698.3,567300.8,12.148
Johor,2019,fruits,41504.2,543387.3,13.092
Johor,2020,fruits,44779,557842.7,12.458
Johor,2021,fruits,50231.6,631711.1,12.576
Johor,2022,fruits,50217,772317.4,15.38
Johor,2017,herbs,394.8,2316.5,5.868
Johor,2018,herbs,453.4,3060.2,6.749
Johor,2019,herbs,189.7,1936.3,10.207
Johor,2020,herbs,179,2586.1,14.447
Johor,2021,herbs,266.8,2642.8,9.906
Johor,2022,herbs,256.2,2722.4,10.626
Johor,2017,industrial_crops,16161,117769.7,7.287
Johor,2018,industrial_crops,13625.3,98700,7.244
Johor,2019,industrial_crops,11369.7,102455,9.011
Johor,2020,industrial_crops,12463.1,110575.5,8.872
Johor,2021,industrial_crops,12975.7,123560.5,9.522
Johor,2022,industrial_crops,13820.5,128173.1,9.274
Johor,2017,paddy,3000,8563,2.854
Johor,2018,paddy,2866,9424,3.288
Johor,2019,paddy,2555,7704,3.015
Johor,2020,paddy,2547,7502,2.945
Johor,2021,paddy,2505,9031,3.605
Johor,2022,paddy,2776,10832,3.902
Johor,2017,spices,1507.6,14532.3,9.639
Johor,2018,spices,999,11548.8,11.56
Johor,2019,spices,962,13679.7,14.22
Johor,2020,spices,1211.6,15368.5,12.684
Johor,2021,spices,1645.5,18401.5,11.183
Johor,2022,spices,1568,17925.1,11.432
Johor,2017,vegetables,16117.2,203846,12.648
Johor,2018,vegetables,14502.9,198459.8,13.684
Johor,2019,vegetables,15359.3,203996.5,13.282
Johor,2020,vegetables,14843.7,208260.3,14.03
Johor,2021,vegetables,17186.9,242213.7,14.093
Johor,2022,vegetables,17188.3,245330.4,14.273
Kedah,2017,cash_crops,760.4,5439.2,7.153
Kedah,2018,cash_crops,662.3,5429.3,8.198
Kedah,2019,cash_crops,611.8,5341,8.73
Kedah,2020,cash_crops,579.5,3318.3,5.726
Kedah,2021,cash_crops,517.1,4093.7,7.917
Kedah,2022,cash_crops,496.2,4462.4,8.993
Kedah,2017,coconut,1289.4,5754.5,4.463
Kedah,2018,coconut,897,6558.9,7.312
Kedah,2019,coconut,995.7,5131.3,5.153
Kedah,2020,coconut,2155.1,10046.3,4.662
Kedah,2021,coconut,1854.4,10185.3,5.493
Kedah,2022,coconut,1773.7,31787.5,17.922
Kedah,2017,flower,33.9,746350,22016.224
Kedah,2018,flower,34.5,759785,22022.754
Kedah,2019,flower,35.2,774221,21994.915
Kedah,2020,flower,34.2,589956,17250.175
Kedah,2021,flower,40.9,724037,17702.616
Kedah,2022,flower,40.5,718245,17734.444
Kedah,2017,fruits,10687,49420.8,4.624
Kedah,2018,fruits,11972.4,69874,5.836
Kedah,2019,fruits,11242,71440.5,6.355
Kedah,2020,fruits,11175.4,61839.5,5.534
Kedah,2021,fruits,9733.8,73092.9,7.509
Kedah,2022,fruits,9762.2,96009.6,9.835
Kedah,2017,herbs,169.8,563,3.316
Kedah,2018,herbs,175,532.6,3.043
Kedah,2019,herbs,174.9,442.7,2.531
Kedah,2020,herbs,196.4,367.2,1.87
Kedah,2021,herbs,103.5,319.7,3.089
Kedah,2022,herbs,176.5,282.7,1.602
Kedah,2017,industrial_crops,2378.1,8081.6,3.398
Kedah,2018,industrial_crops,1178.6,8929.7,7.577
Kedah,2019,industrial_crops,1248.4,8448.9,6.768
Kedah,2020,industrial_crops,2440.4,12265.2,5.026
Kedah,2021,industrial_crops,2119.7,12885.6,6.079
Kedah,2022,industrial_crops,2051.5,35503.6,17.306
Kedah,2017,paddy,214585,939308,4.377
Kedah,2018,paddy,214592,955662,4.453
Kedah,2019,paddy,214252,859018,4.009
Kedah,2020,paddy,214328,914200,4.265
Kedah,2021,paddy,214880,906692,4.22
Kedah,2022,paddy,213718,834901,3.907
Kedah,2017,spices,651.5,1383.3,2.123
Kedah,2018,spices,562.5,1440.9,2.562
