"States","District","Lat","Lon"
"Johor","Batu Pahat",1.85,102.97
"Johor","Johor Bahru",1.5,103.74
"Johor","Kluang",2.04,103.33
"Johor","Kota Tinggi",1.75,103.9
"Johor","Kulai",1.66,103.59
"Johor","Mersing",2.5,103.94
"Johor","Muar",2.07,102.58
"Johor","Muar",2.14,102.76
"Johor","Pontian",1.49,103.45
"Johor","Segamat",2.53,102.83
"Johor","Tangkak",2.27,102.54
"Kedah","Baling",5.72,100.89
"Kedah","Bandar Baharu",5.22,100.61
"Kedah","Kota Setar",6.12,100.37
"Kedah","Kuala Muda",5.68,100.49
"Kedah","Kubang Pasu",6.5,100.41
"Kedah","Kubang Pasu",6.3,100.39
"Kedah","Kubang Pasu",6.38,100.31
"Kedah","Kubang Pasu",6.44,100.5
"Kedah","Kulim",5.39,100.59
"Kedah","Langkawi",6.34,99.78
"Kedah","Padang Terap",6.24,100.64
"Kedah","Pendang",5.98,100.55
"Kedah","Pokok Sena",6.13,100.57
"Kedah","Sik",5.91,100.75
"Kedah","Yan",5.84,100.4
"Kedah","Kubang Pasu",6.46,100.51
"Kelantan","Bachok",6.01,102.41
"Kelantan","Gua Musang",4.87,101.96
"Kelantan","Jeli",5.68,101.85
"Kelantan","Kota Bharu",6.11,102.28
"Kelantan","Kuala Krai",5.53,102.23
"Kelantan","Lojing",4.64,101.51
"Kelantan","Machang",5.77,102.23
"Kelantan","Pasir Mas",6.02,102.13
"Kelantan","Pasir Puteh",5.84,102.4
"Kelantan","Tanah Merah",5.82,102.1
"Kelantan","Tumpat",6.19,102.16
"Malacca","Alor Gajah",2.39,102.22
"Malacca","Jasin",2.3,102.42
"Malacca","Melaka Tengah",2.23,102.26
"Malacca","Tampin",2.49,102.24
"Negeri Sembilan","Jelebu",2.94,102.08
"Negeri Sembilan","Jempol",2.81,102.4
"Negeri Sembilan","Kuala Pilah",2.74,102.25
"Negeri Sembilan","Port Dickson",2.57,101.83
"Negeri Sembilan","Rembau",2.58,102.1
"Negeri Sembilan","Seremban",2.75,101.77
"Negeri Sembilan","Seremban",2.84,101.8
"Negeri Sembilan","Seremban",2.71,101.96
"Negeri Sembilan","Tampin",2.47,102.24
"Pahang","Bentong",3.46,101.97
"Pahang","Bera",3.24,102.47
"Pahang","Cameron Highlands",4.47,101.41
"Pahang","Jerantut",3.95,102.37
"Pahang","Jerantut",4.15,102.42
"Pahang","Kuantan",3.81,103.28
"Pahang","Lipis",4.2,102.03
"Pahang","Maran",3.58,102.78
"Pahang","Pekan",3.45,103.39
"Pahang","Raub",3.82,101.85
"Pahang","Rompin",2.81,103.25
"Pahang","Rompin",2.96,102.98
"Pahang","Temerloh",3.45,102.43
"Penang","Barat Daya Pulau Pinang",5.35,100.22
"Penang","Seberang Perai Selatan",5.22,100.48
"Penang","Seberang Perai Tengah",5.37,100.46
"Penang","Seberang Perai Utara",5.52,100.44
"Penang","Timur Laut Pulau Pinang",5.42,100.31
"Perak","Batang Padang",4.16,101.27
"Perak","Hilir Perak",4.03,101
"Perak","Hulu Perak",5.42,101.13
