"state","date","crop_type","production","planted_area","yield","Min_Temp","Max_Temp","Total_Rainfall_mm","Rainy_Days","Humidity"
"Johor",2019,"coconut",99375.1,10762.9,9.233,24.025,32.5,2174.525,158,81.667
"Johor",2019,"fruits",543387.3,41504.2,13.092,24.025,32.5,2174.525,158,81.667
"Johor",2019,"paddy",7704,2555,3.015,24.025,32.5,2174.525,158,81.667
"Johor",2020,"coconut",106723.2,11887,8.978,24.225,32.075,2458.8,194.5,81.85
"Johor",2020,"fruits",557842.7,44779,12.458,24.225,32.075,2458.8,194.5,81.85
"Johor",2020,"paddy",7502,2547,2.945,24.225,32.075,2458.8,194.5,81.85
"Johor",2021,"coconut",118278.2,12380.5,9.554,23.95,31.825,2635.2,188,83.25
"Johor",2021,"fruits",631711.1,50231.6,12.576,23.95,31.825,2635.2,188,83.25
"Johor",2021,"paddy",9031,2505,3.605,23.95,31.825,2635.2,188,83.25
"Kedah",2019,"coconut",5131.3,995.7,5.153,25.15,32.9,2296.95,157.5,80.55
"Kedah",2019,"fruits",71440.5,11242,6.355,25.15,32.9,2296.95,157.5,80.55
"Kedah",2019,"paddy",859018,214252,4.009,25.15,32.9,2296.95,157.5,80.55
"Kedah",2020,"coconut",10046.3,2155.1,4.662,25,32.75,2570,192,82.25
"Kedah",2020,"fruits",61839.5,11175.4,5.534,25,32.75,2570,192,82.25
"Kedah",2020,"paddy",914200,214328,4.265,25,32.75,2570,192,82.25
"Kedah",2021,"coconut",10185.3,1854.4,5.493,24.7,32.25,2272,173,83.8
"Kedah",2021,"fruits",73092.9,9733.8,7.509,24.7,32.25,2272,173,83.8
"Kedah",2021,"paddy",906692,214880,4.22,24.7,32.25,2272,173,83.8
"Kelantan",2019,"coconut",77807.1,9978.7,7.797,24.35,31.95,1480.3,156.5,80.05
"Kelantan",2019,"fruits",139396.2,19573.3,7.122,24.35,31.95,1480.3,156.5,80.05
"Kelantan",2019,"paddy",268831,71240,3.774,24.35,31.95,1480.3,156.5,80.05
"Kelantan",2020,"coconut",79953.4,10398.9,7.689,24.1,32,3189.733,176.667,82.3
"Kelantan",2020,"fruits",141461.8,20712.3,6.83,24.1,32,3189.733,176.667,82.3
"Kelantan",2020,"paddy",305675,73717,4.147,24.1,32,3189.733,176.667,82.3
"Kelantan",2021,"coconut",76673.8,10340.3,7.415,24.1,31.25,2796.7,185.5,82
"Kelantan",2021,"fruits",145161.2,19759.7,7.346,24.1,31.25,2796.7,185.5,82
"Kelantan",2021,"paddy",333868,74972,4.453,24.1,31.25,2796.7,185.5,82
"Malacca",2019,"coconut",9195.8,1530.3,6.009,24.5,32.5,1616.8,129,76.6
"Malacca",2019,"fruits",15435.1,3025.4,5.102,24.5,32.5,1616.8,129,76.6
"Malacca",2019,"paddy",9323,3360,2.775,24.5,32.5,1616.8,129,76.6
"Malacca",2020,"coconut",19376.2,2923.4,6.628,24,32.3,1712.2,160,79.3
"Malacca",2020,"fruits",24708,4539.8,5.443,24,32.3,1712.2,160,79.3
"Malacca",2020,"paddy",8550,3360,2.545,24,32.3,1712.2,160,79.3
"Malacca",2021,"coconut",14040.2,2189.3,6.413,24.1,31.7,2506,175,80.5
"Malacca",2021,"fruits",19133.9,2861.9,6.686,24.1,31.7,2506,175,80.5
"Malacca",2021,"paddy",10287,3462,2.971,24.1,31.7,2506,175,80.5
"Negeri Sembilan",2019,"coconut",12768.3,1290.3,9.896,25.2,31.7,3433.6,180,79.7
"Negeri Sembilan",2019,"fruits",64512,5552.7,11.618,25.2,31.7,3433.6,180,79.7
"Negeri Sembilan",2019,"paddy",7670,1936,3.962,25.2,31.7,3433.6,180,79.7
"Negeri Sembilan",2020,"coconut",12841.4,1346.7,9.535,25,31.4,4301.3,203,83.1
"Negeri Sembilan",2020,"fruits",66524.5,5384.8,12.354,25,31.4,4301.3,203,83.1
"Negeri Sembilan",2020,"paddy",8942,1989,4.496,25,31.4,4301.3,203,83.1
"Negeri Sembilan",2021,"coconut",13856.9,1500.5,9.235,24.4,30.9,4127.5,225,83.3
"Negeri Sembilan",2021,"fruits",68549.3,5572,12.302,24.4,30.9,4127.5,225,83.3
"Negeri Sembilan",2021,"paddy",4662,1480,3.15,24.4,30.9,4127.5,225,83.3
"Pahang",2019,"coconut",24263.2,4205.5,5.769,22.04,31.1,1737.62,167.4,83.4
"Pahang",2019,"fruits",200044.8,22760.7,8.789,22.04,31.1,1737.62,167.4,83.4
"Pahang",2019,"paddy",31234,12435,2.512,22.04,31.1,1737.62,167.4,83.4
"Pahang",2020,"coconut",26915.8,3997.2,6.734,22.26,30.76,2262.12,193.6,82.52
"Pahang",2020,"fruits",201494.6,24836.8,8.113,22.26,30.76,2262.12,193.6,82.52
"Pahang",2020,"paddy",35524,10572,3.36,22.26,30.76,2262.12,193.6,82.52
"Pahang",2021,"coconut",28180.5,3433,8.209,21.6,30.075,2641.875,190.25,83.95
"Pahang",2021,"fruits",244209,25679.1,9.51,21.6,30.075,2641.875,190.25,83.95
