Area,Item,Months,Year,Value
Malaysia,"Consumer Prices, Food Indices ",January,2010,82.950123
Malaysia,"Consumer Prices, Food Indices ",January,2011,85.966491
Malaysia,"Consumer Prices, Food Indices ",January,2012,90.072103
Malaysia,"Consumer Prices, Food Indices ",January,2013,92.083015
Malaysia,"Consumer Prices, Food Indices ",January,2014,95.937263
Malaysia,"Consumer Prices, Food Indices ",January,2015,98.61848
Malaysia,"Consumer Prices, Food Indices ",January,2016,102.472728
Malaysia,"Consumer Prices, Food Indices ",January,2017,106.57834
Malaysia,"Consumer Prices, Food Indices ",January,2018,110.265012
Malaysia,"Consumer Prices, Food Indices ",January,2019,111.354256
Malaysia,"Consumer Prices, Food Indices ",January,2020,112.359712
Malaysia,"Consumer Prices, Food Indices ",January,2021,114.035472
Malaysia,"Consumer Prices, Food Indices ",January,2022,118.141084
Malaysia,"Consumer Prices, Food Indices ",February,2000,62.523967
Malaysia,"Consumer Prices, Food Indices ",February,2010,82.950123
Malaysia,"Consumer Prices, Food Indices ",February,2011,86.888159
Malaysia,"Consumer Prices, Food Indices ",February,2012,89.401799
Malaysia,"Consumer Prices, Food Indices ",February,2013,92.334379
Malaysia,"Consumer Prices, Food Indices ",February,2014,95.853475
Malaysia,"Consumer Prices, Food Indices ",February,2015,98.450904
Malaysia,"Consumer Prices, Food Indices ",February,2016,103.143032
Malaysia,"Consumer Prices, Food Indices ",February,2017,107.583796
Malaysia,"Consumer Prices, Food Indices ",February,2018,110.432588
Malaysia,"Consumer Prices, Food Indices ",February,2019,111.521832
Malaysia,"Consumer Prices, Food Indices ",February,2020,112.4435
Malaysia,"Consumer Prices, Food Indices ",February,2021,114.035472
Malaysia,"Consumer Prices, Food Indices ",February,2022,118.30866
Malaysia,"Consumer Prices, Food Indices ",March,2010,82.950123
Malaysia,"Consumer Prices, Food Indices ",March,2011,86.888159
Malaysia,"Consumer Prices, Food Indices ",March,2012,89.401799
Malaysia,"Consumer Prices, Food Indices ",March,2013,92.334379
Malaysia,"Consumer Prices, Food Indices ",March,2014,95.937263
Malaysia,"Consumer Prices, Food Indices ",March,2015,98.115752
Malaysia,"Consumer Prices, Food Indices ",March,2016,103.059244
Malaysia,"Consumer Prices, Food Indices ",March,2017,107.248644
Malaysia,"Consumer Prices, Food Indices ",March,2018,109.846072
Malaysia,"Consumer Prices, Food Indices ",March,2019,111.019104
Malaysia,"Consumer Prices, Food Indices ",March,2020,112.359712
