State,Selected meteorological station ,Year,Minimum Mean temperature in Celcius,Maximum Mean temperature in Celcius,Total Rainfall in millimetres,Number of Days of Rainfall,Mean relative humidity in Percentage,
Johor,Senai,2017,24,32.1,2926.7,221,86.8,
Johor,Kluang,2017,23.8,31.8,2277.6,198,85.3,
Johor,Batu Pahat,2017,24.4,31.9,2118.2,204,84.9,
Johor,Mersing,2017,23.9,32.1,2190,168,86.4,
Kedah,Alor Setar,2017,24.2,32.2,2763.2,188,84,
Kedah,Pulau Langkawi,2017,25,31.4,2884.8,190,81.6,
Kelantan,Kota Bharu,2017,24.3,30.9,3380,173,82.4,
Kelantan,Kuala Krai,2017,23.7,32.5,3457.4,207,89,
Melaka,Melaka,2017,21.6,31.7,2336.9,203,81.4,
Pahang,Kuantan,2017,23.9,31.9,2957.4,202,87.5,
Pahang,Cameron Highlands,2017,16.1,22.6,3023.4,278,91.3,
Pahang,"Batu Embun, Jerantut",2017,23.8,32.9,2225.2,157,81.4,
Pahang,Muadzam Shah,2017,23.8,32.5,2847.9,178,86.4,
Pahang,Temerloh,2017,24.4,32.9,2915,194,83.9,
Perak,Ipoh,2017,24.1,32.7,3299.9,222,80,
Perak,Sitiawan,2017,23.6,31.9,1957.4,176,84,
Perak,"Lubok Merbau, Kuala Kangsar",2017,24.1,32.9,1955.4,189,85,
Perlis,Chuping  ,2017,25.2,32.5,2313.4,173,82.9,
Penang,Bayan Lepas,2017,25,31.9,2725.2,183,79.1,
Penang,Butterworth,2017,25.1,32.1,2540.8,171,81.5,
Sabah,Kota Kinabalu,2017,24.3,32.1,3144.7,205,80.8,
Sabah,Kudat,2017,24.3,30.7,3467.2,204,84.4,
Sabah,Sandakan,2017,24.6,30.7,4177.6,221,83.1,
Sabah,Tawau,2017,23.9,31.5,2187.6,198,85.3,
Sarawak,Kuching,2017,23.8,32.3,3823.2,252,87.5,
Sarawak,Miri ,2017,24.2,31.3,3139.6,199,84.1,
Sarawak,Bintulu,2017,23.8,31.7,3810.6,235,87.5,
Sarawak,Sibu,2017,23.6,32.3,4751,247,84.1,
Sarawak,Sri Aman,2017,23.4,32.7,3660.6,247,85.4,
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",2017,23.4,32,2269.6,201,79.2,
Selangor,Subang,2017,24.8,32.7,2632.8,206,77.1,
Selangor,Petaling Jaya,2017,25.3,32.8,2536.6,208,74.2,
Terengganu,Kuala Terengganu,2017,24.5,31.4,3074.4,176,82.5,
